"","Afghanistan","Albania","United Arab Emirates","Armenia","Antigua and Barbuda","Austria","Azerbaijan","Burundi","Belgium","Benin","Burkina Faso","Bangladesh","Bulgaria","Bahrain","Bahamas, The","Bosnia and Herzegovina","Belarus","Belize","Bolivia","Brazil","Barbados","Bhutan","Botswana","Central African Republic","Canada","Switzerland","Chile","China","Cote d'Ivoire","Congo, Dem. Rep.","Congo, Rep.","Colombia","Comoros","Cabo Verde","Costa Rica","Cyprus","Czech Republic","Germany","Djibouti","Dominica","Denmark","Dominican Republic","Algeria","Ecuador","Egypt, Arab Rep.","Spain","Estonia","Finland","Fiji","France","Gabon","United Kingdom","Georgia","Guinea","Gambia, The","Equatorial Guinea","Greece","Grenada","Guatemala","Guyana","Honduras","Croatia","Haiti","Hungary","Indonesia","India","Ireland","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kazakhstan","Kenya","Kyrgyz Republic","Cambodia","Kiribati","St. Kitts and Nevis","Korea, Rep.","Lao, PDR","Lebanon","Liberia","Libya","St. Lucia","Lesotho","Lithuania","Luxembourg","Latvia","Morocco","Moldova, Rep.","Madagascar","Maldives","Mexico","North Macedonia","Mali","Malta","Montenegro","Mozambique","Mauritania","Mauritius","Malawi","Namibia","Niger","Nigeria","Nicaragua","Netherlands","Norway","Nepal","Oman","Pakistan","Panama","Peru","Philippines","Poland","Portugal","Paraguay","West Bank and Gaza","Qatar","Romania","Russian Federation","Rwanda","Saudi Arabia","Senegal","Singapore","Solomon Islands","Sierra Leone","El Salvador","San Marino","Serbia","Sao Tome and Principe","Suriname","Slovakia","Slovenia","Sweden","Eswatini","Seychelles","Chad","Togo","Thailand","Tajikistan","Timor-Leste","Tonga","Trinidad and Tobago","Tunisia","Turkey","Taiwan, China","Uganda","Uruguay","United States","St. Vincent and the Grenadines","Venezuela, RB","Vietnam","Samoa","Kosovo","Yemen, Rep.","South Africa","Zambia"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990","NA","NA","NA","NA","NA","3.267302","NA","NA","3.452926","NA","NA","NA","NA","NA","NA","NA","NA","NA","17.18066","NA","NA","NA","NA","NA","4.777533","5.404396","26.03446","3.046941","NA","NA","NA","29.14816","NA","NA","19.06353","4.494094","NA","2.627658","NA","NA","2.649395","50.3064","NA","48.51263","16.83698","6.730294","NA","6.106169","NA","3.390839","NA","7.028745","NA","NA","NA","NA","20.35816","NA","41.03603","NA","23.473","NA","NA","NA","7.828351","NA","3.364483","15.51225","17.13932","6.455422","21.89523","16.11702","3.082736","NA","15.64363","NA","NA","NA","NA","8.572649","NA","NA","NA","NA","NA","NA","NA","3.703194","NA","NA","NA","NA","NA","26.64997","NA","NA","NA","NA","NA","NA","13.4436","NA","NA","NA","7.870348","NA","2.453066","4.101449","NA","NA","9.068433","0.744871","7355.658","12.16955","74.94138","13.59108","38.22846","NA","NA","NA","NA","NA","2.083562","NA","3.453339","NA","NA","23.97678","NA","NA","NA","NA","NA","NA","10.46628","NA","NA","NA","NA","5.788479","NA","NA","NA","NA","6.470445","60.26948","4.125645","NA","112.47","5.419216","NA","40.72342","NA","NA","NA","NA","14.32547","87.96551"
"1991","NA","NA","NA","NA","NA","3.382968","NA","NA","3.21234","NA","NA","NA","413.3517","NA","NA","NA","NA","1.965771","21.4418","411.0502","NA","NA","NA","NA","5.621377","5.858829","21.81529","3.586243","NA","NA","NA","30.31662","NA","NA","28.69219","5.01451","NA","4.223307","NA","NA","2.408383","47.43257","NA","48.62683","19.86119","5.939798","NA","4.104557","NA","3.211859","NA","7.508533","NA","NA","NA","NA","19.51197","NA","35.05029","NA","33.93021","NA","NA","NA","9.435349","NA","3.252797","6.809185","18.99687","6.302023","51.35884","8.130387","3.250969","NA","19.02613","NA","NA","NA","NA","9.332223","NA","NA","NA","NA","NA","NA","127.1374","3.266441","73.68477","NA","NA","NA","NA","22.60835","NA","NA","NA","NA","NA","NA","7.016676","NA","NA","NA","12.23364","NA","3.131573","3.438675","NA","NA","11.72823","1.249635","424.5877","19.25391","44.93112","11.78634","24.29573","NA","NA","124.9179","107.8546","NA","4.926846","NA","3.440219","NA","NA","14.40394","NA","NA","NA","NA","NA","NA","9.327507","NA","NA","NA","NA","5.723352","NA","NA","NA","NA","8.220329","66.04851","4.253589","NA","101.959","4.21583","NA","34.19638","NA","NA","NA","NA","15.33471","103.8574"
"1992","NA","NA","NA","NA","NA","3.978254","NA","NA","2.433331","NA","NA","NA","91.32959","NA","NA","NA","NA","2.404188","12.04282","948.8091","NA","NA","NA","NA","1.486772","4.037167","15.4538","6.374143","NA","NA","NA","27.03305","NA","NA","21.79686","6.48909","10.99516","5.077878","NA","NA","2.114123","4.248547","NA","54.68149","13.53829","5.92577","NA","2.568548","NA","2.369838","NA","4.282465","NA","NA","NA","NA","15.88017","NA","10.24324","NA","8.730052","NA","NA","NA","7.54157","NA","3.066142","3.958382","11.95329","5.131901","77.25706","3.970465","1.757656","NA","27.3562","NA","NA","NA","NA","6.20673","NA","NA","NA","NA","NA","NA","1028.395","3.159974","963.1794","NA","NA","NA","NA","15.51683","NA","NA","NA","NA","NA","NA","4.71423","NA","NA","NA","43.54299","NA","3.194316","2.341857","NA","NA","9.926516","1.825715","74.06648","8.648598","36.86566","9.555764","15.1558","NA","NA","209.9479","1591.063","NA","-0.056469","NA","2.243947","NA","NA","11.22516","NA","NA","NA","NA","NA","NA","2.272175","NA","NA","NA","NA","4.140851","NA","NA","NA","6.480176","5.839034","70.06929","4.277985","NA","68.47915","3.041616","NA","31.41272","NA","NA","NA","NA","13.877","160.2007"
"1993","NA","NA","NA","1760.772","NA","3.693727","NA","NA","2.753826","NA","NA","NA","72.82387","NA","NA","NA","NA","1.482976","8.512411","1932.648","NA","NA","NA","NA","1.865449","3.292662","12.74283","14.62715","NA","NA","NA","22.43831","NA","NA","9.778748","4.8887","20.62058","4.446855","NA","NA","1.215981","5.224889","NA","44.95355","12.12022","4.567073","89.57983","2.090534","NA","2.092833","NA","2.516532","NA","NA","NA","NA","14.35664","NA","13.36135","NA","10.77367","1523.71","NA","22.45679","9.677065","NA","1.365007","4.083088","10.78855","4.438316","21.94645","4.517388","1.240171","150","46.07427","NA","NA","NA","NA","4.803262","NA","NA","NA","NA","NA","NA","401.794","3.58474","106.0409","NA","NA","NA","NA","9.763624","NA","NA","NA","NA","NA","NA","10.53974","NA","NA","NA","58.07168","NA","2.5797","2.275118","NA","NA","9.96817","0.45474","48.5289","6.719307","33.33859","6.779224","18.36903","NA","NA","256.7604","864.2707","NA","1.044721","NA","2.290914","NA","NA","18.51086","NA","NA","NA","NA","NA","31.59649","4.645431","NA","NA","NA","NA","3.301075","NA","NA","NA","10.78199","3.935965","66.24014","2.979649","NA","54.11111","2.96965","NA","38.11929","NA","NA","NA","NA","9.701786","182.662"
"1994","NA","NA","NA","4877.04","NA","2.943698","NA","NA","2.374841","NA","NA","NA","96.869","NA","NA","NA","337.4388","2.58699","7.866872","2036.327","NA","NA","NA","NA","0.136372","0.851097","11.46041","24.24906","NA","NA","NA","22.84171","NA","NA","13.55253","4.669184","9.902365","2.722972","NA","NA","2.002843","8.244008","NA","27.36321","8.116443","4.713065","47.67594","1.085946","NA","1.61475","NA","1.945517","NA","NA","NA","NA","10.88438","NA","12.52083","NA","21.77143","101.0357","NA","18.88814","8.52597","NA","2.333483","1.550666","12.41405","4.086727","35.17311","2.337982","0.695316","1863.333","28.68474","NA","NA","NA","NA","6.268625","NA","NA","NA","NA","NA","NA","71.01064","2.099025","35.72481","NA","NA","NA","NA","6.986278","125.4931","NA","NA","NA","NA","NA","7.299912","NA","NA","NA","56.87245","NA","2.802858","1.401569","NA","NA","12.37397","1.238381","23.74788","10.36317","28.10977","5.412855","20.41496","NA","NA","136.4131","296.0288","NA","0.566714","NA","3.095308","NA","NA","10.60099","NA","NA","NA","NA","13.43837","20.86934","2.199923","NA","NA","NA","NA","5.090673","NA","NA","NA","8.81932","4.786068","104.7432","3.798331","NA","44.75709","2.595605","NA","60.7953","NA","NA","NA","NA","8.955371","53.894"
"1995","NA","7.770781","NA","163.2827","NA","2.224392","NA","NA","1.466866","NA","NA","NA","61.45287","NA","NA","NA","680.4607","2.891676","10.19299","66.04489","NA","NA","NA","NA","2.188716","1.797494","8.229115","16.75627","NA","NA","NA","20.88388","NA","NA","23.17975","2.628463","9.223123","1.740986","NA","NA","2.075341","12.51565","NA","22.93224","15.65238","4.670523","28.73729","1.017066","NA","1.859574","NA","2.670348","NA","NA","NA","NA","8.971324","NA","8.416457","NA","29.44217","1.955334","NA","28.31616","9.414759","NA","2.551402","1.654691","9.935527","5.26843","19.88243","2.36131","-0.129231","176.0611","1.548632","NA","NA","NA","NA","4.480188","NA","NA","NA","NA","NA","NA","39.58796","2.016736","25.0403","NA","29.62676","NA","NA","35.06179","16.05868","NA","NA","NA","NA","NA","5.987582","NA","NA","NA","72.84943","NA","1.923944","2.460056","NA","NA","12.33759","1.046589","11.0342","6.825291","19.83809","4.219303","13.38609","NA","NA","32.17943","196.2725","NA","4.824315","NA","1.724716","NA","NA","10.03987","NA","NA","NA","NA","9.907938","13.55321","2.531624","NA","NA","NA","NA","5.773657","NA","NA","NA","5.272225","6.199251","89.39793","3.928406","NA","42.25941","2.80542","NA","59.96449","NA","NA","NA","NA","8.665193","34.8468"
"1996","NA","12.84964","NA","17.41748","NA","1.866785","NA","NA","2.059942","NA","NA","NA","125.5297","NA","NA","NA","51.37183","6.331788","12.43043","15.77505","NA","NA","NA","NA","1.5802","0.810454","7.356015","8.30295","NA","NA","NA","20.80212","NA","NA","17.50505","2.99271","8.77287","1.435195","NA","NA","2.156174","5.398481","NA","24.48512","7.304768","3.554631","23.02082","0.609435","NA","1.958398","NA","2.454127","NA","NA","NA","NA","8.205315","NA","11.06211","NA","23.84598","3.620952","NA","23.43359","7.954432","NA","1.773146","2.252658","11.33835","3.903078","26.4148","6.571931","0.135742","39.23739","8.853006","NA","NA","NA","NA","4.921727","NA","NA","NA","NA","NA","NA","24.57733","1.181445","18.12243","NA","23.50441","NA","NA","34.3497","2.421658","NA","NA","NA","NA","NA","6.614495","NA","NA","NA","29.3944","NA","1.980081","1.237624","NA","NA","10.36493","1.225417","11.48983","7.467877","15.06442","3.066044","9.782505","NA","NA","38.86845","47.24922","NA","1.246566","NA","1.378883","NA","NA","9.7902","NA","NA","NA","NA","5.788405","9.911743","0.472543","NA","NA","NA","NA","5.855766","NA","NA","NA","3.29092","3.81435","80.2474","2.88827","NA","28.33579","2.936673","NA","99.82436","NA","NA","NA","NA","7.368274","43.264"
"1997","NA","33.14557","NA","14.0953","NA","1.258632","NA","NA","1.626407","NA","NA","NA","1037.473","NA","NA","NA","64.25235","1.101589","4.704082","6.955812","NA","NA","NA","NA","1.611845","0.518586","6.126774","2.786889","NA","NA","NA","18.47215","NA","NA","13.24794","3.612911","8.617439","1.904658","NA","NA","2.185033","8.291967","NA","30.68883","4.451595","1.968738","10.57875","1.20358","NA","1.182854","NA","1.822545","7.118923","NA","NA","NA","5.532378","NA","9.236167","NA","20.20086","3.632513","NA","18.27969","6.22842","NA","1.415225","1.791342","8.981632","2.035383","9.68865","3.020019","1.746298","17.57951","11.26951","NA","NA","NA","NA","4.433387","NA","NA","NA","NA","NA","NA","8.900532","1.365541","8.496626","NA","11.87699","NA","NA","20.59695","1.373701","NA","NA","NA","NA","NA","6.815258","NA","NA","NA","10.71593","NA","2.109116","2.579462","NA","NA","11.37371","1.261265","8.536299","5.578344","11.67336","2.339851","6.942249","7.616012","NA","154.7637","14.80706","NA","0.04364","NA","2.023303","NA","NA","4.487374","NA","NA","NA","NA","6.145806","8.341827","0.522942","NA","NA","NA","NA","5.561779","NA","NA","NA","3.665968","3.622086","85.72996","0.897818","NA","19.82176","2.337566","NA","50.09904","NA","NA","NA","NA","8.591057","24.33164"
"1998","NA","20.55627","NA","8.460715","NA","1.022278","NA","NA","0.949632","NA","NA","NA","17.80225","NA","NA","NA","73.57019","-0.897585","7.670367","3.199284","NA","NA","NA","NA","0.986812","0.018834","5.105521","-0.774214","NA","NA","NA","18.65518","NA","NA","11.66843","2.231566","10.69498","1.003952","NA","NA","1.823286","4.840253","NA","36.17043","3.973745","1.834861","8.195204","1.412878","NA","0.643501","NA","1.557802","3.503829","NA","NA","NA","4.765316","NA","6.619425","NA","13.66554","6.630169","NA","14.11322","58.50181","NA","2.482476","1.704131","5.477754","1.983743","8.595137","3.098914","0.66674","7.212622","5.390547","NA","NA","NA","NA","7.506495","NA","NA","NA","NA","NA","NA","5.078257","0.959934","4.625363","NA","7.734967","NA","NA","15.9164","0.568796","NA","NA","NA","NA","NA","6.816615","NA","NA","NA","7.86662","NA","1.959877","2.264331","NA","NA","6.216777","0.630405","7.253487","9.240583","8.515203","2.575989","11.56988","5.57155","NA","59.01437","27.69744","NA","-0.356621","NA","-0.271068","NA","NA","2.546451","NA","NA","NA","NA","6.660642","7.942021","-0.131542","NA","NA","NA","NA","8.15853","NA","NA","NA","5.606925","3.102565","84.50636","1.47939","-1.11099","10.80296","1.547007","NA","35.78006","NA","NA","NA","NA","6.885304","24.64282"
"1999","NA","0.396842","NA","0.898206","NA","0.541733","NA","NA","1.124247","NA","NA","NA","2.555467","NA","NA","NA","294.1514","-1.176875","2.156372","4.857149","NA","NA","NA","NA","1.744292","0.807912","3.33328","-1.400824","NA","NA","NA","10.87418","NA","NA","10.04095","1.742477","2.145845","0.422967","NA","NA","2.48301","6.480608","NA","52.20699","3.081326","2.310855","3.311462","1.214359","NA","0.554135","NA","1.332651","19.16457","NA","NA","NA","2.632523","NA","5.210938","NA","11.67005","4.00477","NA","9.999695","20.38147","NA","1.556223","3.222987","5.18153","1.655546","5.93016","0.597633","-0.340369","8.374212","5.771983","NA","NA","NA","NA","0.810427","NA","NA","NA","NA","NA","NA","0.738945","1.026356","2.389295","NA","39.30653","NA","NA","16.56522","-1.251277","NA","NA","NA","NA","NA","6.851007","NA","NA","NA","6.601048","NA","2.159162","2.365692","NA","NA","4.145036","1.275082","3.47118","5.953669","7.275266","2.34698","6.760398","5.541934","NA","45.85627","85.91716","NA","-1.723132","NA","0.023601","NA","NA","0.509442","NA","NA","NA","NA","10.58996","6.126147","0.459285","NA","NA","NA","NA","0.433687","NA","NA","NA","3.418132","2.687631","64.83457","0.3706","5.757041","5.656373","2.193139","NA","23.57819","NA","NA","NA","NA","5.184844","26.73952"
"2000","NA","0.046656","NA","-0.739184","NA","2.331793","NA","NA","2.546734","NA","NA","NA","10.30487","NA","NA","NA","167.6707","0.611951","4.606254","7.041551","NA","NA","8.647614","NA","2.737636","1.561153","3.838287","0.361898","NA","NA","NA","9.217835","NA","NA","10.94888","4.20467","3.777592","1.516268","NA","NA","2.9274","7.765446","NA","96.04523","2.694604","3.431748","4.018399","3.360942","NA","1.663841","NA","0.800216","3.999637","NA","NA","NA","3.154015","NA","5.97527","NA","11.04123","4.599345","NA","9.818465","3.705672","NA","5.60464","5.120298","1.161752","2.503294","8.044105","0.679175","-0.674833","13.44973","9.991672","NA","NA","NA","NA","2.261132","NA","NA","NA","NA","NA","NA","0.988649","3.155718","2.647402","NA","31.09585","NA","NA","9.486141","6.633801","NA","NA","NA","NA","NA","4.249235","NA","NA","NA","6.891637","NA","2.359419","3.051002","NA","NA","4.371645","1.478052","3.762026","3.980393","10.06048","2.855916","8.990635","2.805926","NA","45.62718","20.78201","NA","-1.147452","NA","1.348091","NA","NA","2.271151","NA","NA","NA","NA","11.99741","8.934614","1.001525","NA","NA","NA","NA","1.513098","NA","NA","NA","3.522623","2.990069","54.85367","1.185066","3.374576","4.759925","3.366683","NA","16.21387","NA","NA","NA","NA","5.350354","26.07144"
"2001","NA","3.089922","NA","3.173422","1.398386","2.645572","1.571233","9.298072","2.468649","3.990825","4.988064","1.929777","7.449775","0.008655","2.042628","NA","60.83305","1.161469","1.602296","6.837456","2.584387","2.712487","6.508581","3.843733","2.507426","0.989863","3.565017","0.71405","4.360949","358.8873","0.081553","7.95818","5.531807","3.342191","11.26014","1.969356","4.666403","1.981122","1.748042","1.299182","2.370817","8.901645","4.229723","37.4384","2.284564","3.588055","5.745773","2.551725","4.26216","1.615761","2.134686","1.235106","4.698198","NA","4.479392","8.833897","3.377501","1.66227","7.287866","2.631456","9.666673","3.779902","14.15859","9.16716","11.48101","3.778289","4.839997","6.392533","1.115283","2.819536","6.862372","1.777539","-0.74021","8.549444","5.80432","6.901943","-0.596509","NA","2.306174","4.069052","7.736865","NA","NA","NA","5.301366","NA","1.372568","2.669763","2.476657","0.620494","9.587832","7.869837","0.6791","6.366705","5.207712","5.176627","2.928835","NA","NA","4.719016","5.399346","22.74411","NA","4.005065","18.83746","5.983503","4.1537","3.026955","2.695904","NA","3.5845","0.32802","1.977615","6.778631","5.493751","4.372439","7.273534","1.22791","NA","34.42803","21.47768","3.347735","-1.117171","2.967843","1.014691","6.894157","NA","3.742666","NA","95.48673","9.232189","38.84921","7.092397","8.375902","2.44087","5.963512","5.957285","12.39484","3.939828","1.377282","38.54564","NA","8.279026","5.59902","1.954282","54.34933","-0.198424","1.936276","4.370169","2.816629","0.895717","12.53286","-0.421669","3.854879","NA","NA","5.69397","21.24208"
"2002","NA","5.174821","NA","1.038033","2.402485","1.826459","2.777317","-1.362092","1.6449","2.491204","2.170444","3.363567","5.862736","1.554738","2.169629","NA","42.65498","2.218441","0.928734","8.451578","0.157094","2.687932","7.998616","2.340377","2.275633","0.639876","2.485898","-0.730988","3.077084","31.59825","4.375662","6.348321","3.509985","1.898991","9.166851","2.795691","1.890172","1.383238","0.63629","0.163644","2.421631","5.233945","1.41724","12.42373","2.72745","3.102868","3.556822","1.574043","0.753819","1.908084","0.031209","1.260519","5.601816","NA","8.59623","7.600935","3.628502","1.06566","8.125512","5.346698","7.698335","1.670052","9.859601","5.284603","11.89403","5.203442","4.60737","5.175578","5.667795","2.439741","7.04031","1.838055","-0.923796","6.03833","2.000107","2.138431","3.213373","NA","2.045673","2.766711","10.61249","NA","14.22549","-9.798514","-0.262009","NA","0.272174","2.075737","1.946164","2.795455","5.249053","16.46672","4.177486","5.037379","1.072018","5.039629","2.968567","NA","NA","3.893116","6.449643","14.72368","7.156545","2.624634","12.88477","3.750074","3.28388","1.297448","3.034183","-0.278168","3.68398","1.224419","0.195034","3.00495","1.898457","3.599562","10.52031","5.707691","NA","22.50579","15.77776","2.00512","0.257533","2.34479","-0.391698","10.16514","NA","1.863949","NA","19.56043","10.13008","15.44717","3.312583","7.476447","2.152313","12.00405","0.17421","5.166345","3.038397","0.69946","12.22846","4.504533","10.35338","4.135378","2.73969","44.89054","-0.197849","-0.302348","13.95779","1.59567","1.84923","22.42812","3.808224","8.054604","NA","12.26668","9.169428","22.29259"
"2003","NA","2.389685","NA","4.69599","1.989608","1.345026","2.130843","10.67499","1.588791","1.491825","2.038225","5.600668","2.388951","1.130584","3.023386","NA","28.49153","2.598778","3.34303","14.7129","1.570636","1.759795","9.205016","4.13625","2.741667","0.636067","2.810607","1.123045","3.286356","12.82929","-0.620234","7.122969","3.781237","1.198482","9.439855","4.137895","0.116343","0.993178","1.975572","1.451006","2.071203","27.46142","2.573401","7.913473","4.461496","3.041399","1.337893","0.889359","4.173719","2.113952","2.230407","1.360037","4.787936","NA","17.04597","7.335357","3.527977","2.153642","5.595048","5.98973","7.669834","1.768562","39.27117","4.664204","6.790078","4.324896","3.504304","2.06285","0.651095","2.708897","10.11796","2.348734","-0.258759","6.437237","9.820829","2.964148","1.198025","NA","2.239801","3.514011","15.49943","NA","10.31266","-2.191859","1.032205","6.626289","-1.127552","2.053309","2.94212","1.163765","11.65968","-1.724471","-1.267419","4.550559","0.867739","-1.327727","0.534159","NA","NA","5.154472","3.890382","9.563794","7.213399","-1.606507","14.0135","5.302181","2.090759","2.445221","5.705979","0.227761","2.874349","1.432484","2.260219","3.476934","0.799179","3.21977","14.19348","4.386157","2.423975","15.38116","13.65068","7.452847","0.617935","-0.054469","0.486898","9.966205","NA","2.119463","1.075033","9.892269","9.794213","23.07279","8.543893","5.538835","1.9253","7.253539","3.309398","-1.693367","-0.935714","1.800875","16.25759","7.174832","11.63379","3.772069","2.703582","25.29632","-0.18658","8.721551","19.40634","2.297999","0.201687","31.09037","3.225294","0.103748","0.584007","10.82238","5.672535","21.30717"
"2004","NA","2.837184","NA","6.8586","2.026578","2.085615","6.706841","8.169941","2.096596","0.863132","-0.39541","7.585806","6.142224","1.117095","0.979268","NA","18.24194","3.051004","4.438451","6.591173","1.41774","1.569639","7.00539","-2.07092","1.841187","0.800771","1.052847","3.834155","1.461945","4.000267","2.422502","5.906675","4.477598","-1.893567","12.31648","2.28064","2.754762","1.75822","3.112354","2.394193","1.1536","51.29884","3.559194","2.753218","11.29084","3.038958","3.048934","0.181163","2.832427","2.129338","0.401971","1.341136","5.631467","NA","14.20563","4.223469","2.892754","2.309613","7.569261","4.673507","8.109237","2.050433","22.7744","6.735564","6.067285","3.853201","2.193555","3.146284","-0.390184","2.155043","13.53431","2.634728","-0.009807","6.885322","11.79898","4.090969","4.088057","NA","2.315138","3.587357","10.49215","NA","7.780861","-2.195298","1.453963","5.020779","1.173285","2.224302","6.184653","1.493861","12.45849","14.03289","-1.680378","4.694378","-0.448251","-3.105307","2.784854","NA","NA","10.36559","4.691471","11.46994","4.149776","0.241668","15.05552","8.471399","1.263863","0.464972","2.832931","0.627304","7.4351","0.196959","3.659611","5.976788","3.577923","2.365359","4.324504","2.994963","7.754018","11.86251","10.88589","12.24902","0.327391","0.516148","1.673631","6.738294","NA","4.446226","1.430107","11.01347","13.27761","9.989684","7.524572","3.589718","0.372545","3.430049","3.878408","-5.324807","0.412345","2.770336","7.129632","3.242814","10.96944","3.751242","3.665054","8.590178","1.642441","3.673198","9.162605","2.667572","2.959447","21.74681","7.762433","16.31312","-1.065971","12.53088","-0.696512","17.96014"
