"","Angola","Albania","United Arab Emirates","Armenia","Developing Asia","Antigua and Barbuda","Australia","Austria","Azerbaijan","Burundi","Belgium","Bangladesh","Bulgaria","Bahrain","Bahamas, The","Bosnia and Herzegovina","Belarus","Belize","Bolivia","Brazil","Brunei Darussalam","Bhutan","Botswana","Central African Republic","Canada","Switzerland","Chile","China","Cameroon","Congo, Dem. Rep.","Congo, Rep.","Colombia","Comoros","Cabo Verde","Costa Rica","Cyprus","Czech Republic","Germany","Developing Countries","Djibouti","Dominica","Denmark","Dominican Republic","Algeria","East Asia & Pacific developing","Europe & Central Asia developing","Ecuador","Egypt, Arab Rep.","Eritrea","Spain","Estonia","Ethiopia","Finland","Fiji","France","Micronesia, Fed. Sts.","Gabon","United Kingdom","Georgia","Ghana","Guinea","Gambia, The","Equatorial Guinea","Greece","Grenada","Guatemala","Guyana","High Income Countries","Hong Kong SAR, China","Honduras","Croatia","Haiti","Hungary","High income: OECD","Indonesia","India","Ireland","Iraq","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kazakhstan","Kenya","Kyrgyz Republic","Cambodia","St. Kitts and Nevis","Korea, Rep.","Kuwait","Latin America & Caribbean developing","Lao, PDR","Lebanon","Liberia","Libya","St. Lucia","Low-Income Countries (LIC)","Sri Lanka","Lesotho","Lithuania","Luxembourg","Latvia","Morocco","Moldova, Rep.","Madagascar","Maldives","Mexico","Middle-Income Countries (MIC)","North Macedonia","Malta","Myanmar","Middle East & N. Africa developing","Mongolia","Mozambique","Mauritania","Mauritius","Malawi","Malaysia","Namibia","Nigeria","Nicaragua","Netherlands","Norway","Nepal","New Zealand","High Income: Non-OECD","Oman","Pakistan","Panama","Peru","Philippines","Papua New Guinea","Poland","Portugal","Paraguay","West Bank and Gaza","Qatar","Romania","Russian Federation","Rwanda","South Asia developing","Saudi Arabia","Sudan","Singapore","Solomon Islands","Sierra Leone","El Salvador","San Marino","Serbia","South Sudan","Sub-Saharan Africa developing","Sao Tome and Principe","Suriname","Slovakia","Slovenia","Sweden","Eswatini","Seychelles","Syrian Arab Republic","Chad","Thailand","Tajikistan","Turkmenistan","Timor-Leste","Tonga","Trinidad and Tobago","Tunisia","Turkey","Taiwan, China","Tanzania, United Rep.","Uganda","Ukraine","Uruguay","United States","Uzbekistan","St. Vincent and the Grenadines","Venezuela, RB","Vietnam","Vanuatu","World (WBG members)","Samoa","Yemen, Rep.","South Africa","Zambia","Zimbabwe"
"2005","3196.851","1430.67","NA","759.7","1167475","127.3207","42069.53","7325.538","1090.482","100.1303","8607.401","2801.107","8727.41","1982.478","586.2979","2561.467","1156.629","71.35747","1798.4","53799","NA","467.4262","6309.056","139.7726","32967.58","38372.16","33019.43","822478.8","950.8775","131.2003","732.3864","14956.6","85.82705","174.392","2312.6","4214.402","29555.15","50652.76","1860603","89.26477","49.1722","33037.42","1929.3","56582.36","1010927","292080.4","2146.9","21915","NA","10413.85","1953.55","NA","10600.13","320.9313","32297.65","49.95331","669.2066","54508.75","478.65","1894.84","95.17965","98.31285","2102.495","680.0212","94.25292","3674.876","251.8726","2563746","124280","2328.279","8593.871","218.4504","18603","1740055","34724","137206","787.4942","12113.53","1038.898","28059.41","29458.09","2087.43","6590.407","835505.6","7069","1798.856","573.8842","972.9792","71.61172","210390.7","8989.806","140503.4","241.5828","12348.41","25.39546","39739.16","116.3879","39175.61","3047.03","519.1124","3815.6","244.8023","2244.573","16492.09","597.44","481.2868","189.0329","6459.842","1824429","21.74798","2576.629","782.3048","194057","374.4102","1058.583","65.04353","1365.8","159.288","70183.3","312.1049","28279.06","NA","10103.65","47018.24","1505.442","8898","817052.8","4358.096","11324.24","1210.532","14120","18494.4","721.2509","42571.2","4150.11","1053.5","NA","4543.323","5917.618","182240.3","256.8823","156540.3","155258.8","1868.588","192044.6","NA","170.5055","1831.6","347.7097","NA","NA","65700.62","26.70273","127.3463","19459.01","8177.35","22360.94","243.8972","56.24415","17388.52","226.1318","52065.9","170.2378","NA","153.2998","46.86416","4963.907","4444.013","52378","253970.8","NA","1344.201","19390.58","3078","67167.6","NA","69.51199","30368","9050.562","67.19755","4404825","77.2569","6117.899","3248.295","577.8653","NA"
"2006","8149.08","1805.67","NA","1072","1503000","142.6326","53583.2","7498.789","2315.114","130.5782","9168.776","3852.174","11780.92","2808.186","461.3313","3680.62","1094.887","113.7216","3192.6","85839","NA","545.3248","7992.392","125.9328","34999.53","40277.66","36785.22","1069509","1717.799","154.5038","1841.518","15440.4","93.55298","254.5258","3114.6","5671.263","31454.19","47480.38","2496926","120.3267","63.0471","29836.33","2250.9","78207.69","1303604","453388","2023.3","26073","NA","11527.71","2797.369","NA","6577.424","312.8337","47255.84","46.62275","1114.108","58007.83","930.83","2266.71","NA","120.616","3066.739","755.0674","99.96139","3926.568","279.6364","2826085","133210","2629.608","11218.17","367.0526","21589","1872113","42586","177251","729.2822","19941.79","2304.672","29153.24","29812.36","2317.55","8142.385","880976.9","19127","2415.782","768.7245","1178.306","88.6978","238956.1","12699.67","187270.8","339.4892","13862.01","71.98951","59532.71","134.5387","41922.07","3135.227","658.3988","5772.6","221.972","4366.466","20850.1","775.29","583.1825","234.3913","6234.122","2456082","30.57107","2977.067","1247.79","257850","718","1160.744","187.7906","1300.9","134.4477","82457.3","449.5788","42298.11","NA","11887.45","56880.73","NA","14059","949005.5","5014.079","13028.92","1334.983","17329","22966.7","1403.997","48484.3","2711.277","1421","314.0813","5383.666","8884.673","303732.4","381.7627","198047","226277.2","1659.926","208304.2","NA","183.927","1906.8","479.0697","11667.71","NA","96100.45","34.18149","217.3251","15518.78","7154.125","25046.08","372.5293","112.9233","16511.22","625.6709","66984.8","177.4928","NA","83.75512","47.97246","6588.9","6780.502","63186","266864.6","NA","1810.879","22358.1","3074","68622.69","NA","78.69158","37440","13384.07","104.6614","5301732","75.90684","7514.145","3632.469","742.958","NA"
"2007","11196.8","2131.72","NA","1659.2","2146995","143.8488","24910.42","11186.43","3956.509","176.3829","10788.68","5246.868","17430.78","4225.422","464.4829","4983.562","3967.151","108.5126","5318.5","180334","NA","699.0495","9789.741","83.20694","40997.26","46510.64","33922.69","1531349","2908.428","180.6774","2174.908","20955.1","117.1924","364.4623","4113.6","6144.334","34905.2","50403.42","3572591","132.1374","60.52207","32652.77","2946.2","110626.4","1844136","667563.1","3520.8","31717","NA","11980.95","3259.983","NA","7150.538","527.6499","50338.57","48.47947","1227.952","69950.43","1361.1","2808.35","NA","142.7845","3845.916","831.2056","110.5697","4142.187","313.0078","3126116","152702","2529.21","13353.4","580.9919","24050","2015481","56920","275316","788.4723","31308.05","2582.184","28518.51","32744.91","1877.73","9102.965","954145.2","17629","3355.03","1111.82","1829.028","95.79063","262224.1","16800.42","302402.2","544.1743","13420","119.3592","79660.47","153.7196","45736.99","3886.578","1002.76","7712","147.645","5567.126","24454.04","1333.69","846.677","311.4342","7188.647","3524441","36.12434","3786.312","3101.805","333434.6","1000.6","1449.957","198.4618","1821.8","217.3214","101344.8","896.022","51333.15","NA","11374.77","60881.48","NA","17236","1107973","9523.509","15470.78","1935.052","27720","33751.1","2057.193","65745.4","1938.021","2111.9","354.7846","9438.448","11221.2","477890.2","783.927","300930.7","305709.6","1377.922","233913.1","NA","216.5553","2197","647.7335","13913.95","NA","121614.7","39.33162","372.2853","20965.43","1053.532","27308.95","774.193","40.76861","17059.03","955.6777","87455.1","43.08053","NA","230.2717","65.23873","6697.122","7881.492","76415","271063.8","NA","2559.79","32479.06","4121","73987.48","NA","86.97685","34286","23479.39","119.6232","6677847","90.26472","7718.198","4803.325","1125.149","145.7576"
"2008","17869.41","2332.03","NA","1406.8","2553334","138.0225","30829.24","9397.248","5988.065","265.7531","9712.765","5758.909","17696.41","3928.542","567.909","4323.582","2710.302","166.1629","7722.2","193783","NA","764.8031","9118.641","122.3895","43783.38","46863.68","35734.17","1950300","3088.424","77.73334","3872.381","24041","112.1915","361.4671","3799.1","640.8814","37012.52","49051.98","4041301","175.4954","55.15008","40581.13","2662.1","143544","2276339","612533.8","4473.1","34163","NA","12901.76","3808.946","NA","7064.547","321.5284","37936.94","39.98621","1924.184","56647.6","1480.16","2027.92","NA","116.5171","4431.192","538.7732","105.3416","4473.795","355.9136","3336913","182539","2474.526","12653.04","704.2943","33874","2021821","51639","255968","881.5048","49947.95","3518.659","42513.24","41337.18","1772.94","10221.33","1010691","19872","2878.543","1157.349","2313.102","110.4115","201223.4","17249.7","334645","644.1227","20741.63","160.86","92562.52","142.7744","47123","2839.092","971.5302","6441.9","338.5613","5041.039","22231.27","1672.41","982.3066","243.5889","6361.107","3990206","32.66445","368.6089","3730.054","408036.6","657.4","1582.865","189.2159","1785.6","243.4659","91536","1292.934","53000.36","NA","12537.91","50984.87","NA","11052","1318873","11581.91","9137.52","2423.783","31233","37550.8","1956.798","62180.1","1972.424","2479.1","509.5358","9670.976","9732.639","427079.8","769.3129","274711.9","442809.2","1399.041","249546.1","NA","220.1675","2544","706.7932","11144.87","NA","131564.1","61.29217","564.4463","19085.53","928.1875","26133.85","751.9357","63.83388","17106.63","1346.069","111008","107.5476","NA","210.4237","69.75389","9445.916","8719.159","74254","292441.2","NA","2300.539","31543.2","6360","80704.12","NA","83.69018","43127","23890.25","115.23","7356677","81.94609","8114.07","3428.438","1130.988","75.90022"
"2009","13664.1","2359.28","NA","2003.7","3111477","127.8604","39091.03","8608.205","5044.108","322.0962","16307.98","10343.96","18516.41","3853.404","1009.824","4624.941","4872.192","213.6833","8580.5","238520","NA","890.8934","8703.96","NA","54243.77","100034.2","50458.18","2417903","NA","1035.381","NA","25365","150.3015","397.8767","4066.3","820.6918","41611.07","65935.18","4680633","241.8319","75.46403","74408.29","3307.1","149346.9","2794047","632022.6","3792.1","34209","NA","18701.92","4026.054","NA","9797.277","569.1789","50929.8","55.71861","NA","69152.99","2110.41","3164.81","NA","224.1751","3251.938","1753.162","129.079","4975.794","631.4103","3861600","255816","2087.657","14544.86","1051.997","44177","2408871","66105","283470","1951.387","44137.87","3816.741","60611.35","50095.65","1729.35","13455.55","1026250","23091","3848.984","1498.531","2873.072","136.4081","269994.7","20406.76","379455.8","624.2609","29608.9","372.457","98978.96","174.7989","51504.97","5308.621","1179.799","6626.5","734.4656","6645.447","23783.97","1480.25","982.0787","275.5927","7063.369","4625177","37.8741","532.4163","5264.516","429304.4","1327.4","2103.393","225.9827","2303.1","150.0589","96677.7","2050.927","42382.49","NA","18950.93","48892.93","2771.125","15583","1453571","12202.98","14360.99","3028.272","33175","44242.6","2564.065","79591.3","3082.635","3289.5","498.1733","18391.64","10628.62","439450.2","1009.885","317421.2","410263.2","1094.177","261374.6","NA","404.9644","2985.2","790.2719","14792.35","NA","122704.7","66.65912","599.6467","1840.432","1090.917","43081.4","958.8693","190.5467","17443.25","NA","138417.6","178.6185","NA","249.9285","95.70257","9181.311","10661.65","74829","348945.3","NA","2994.459","26505.11","7987","134067.1","NA","87.81545","35830","16447.1","148.6129","8518196","144.4769","6938.298","5293.166","1953.177","NA"
"2010","19678.66","2550.84","NA","1865.8","3668757","136.6002","38797.68","10074.52","6237.085","330.7858","16893.44","11174.59","17378.73","5096.723","1044.153","4366.646","3492.185","217.9996","9730.2","288575","NA","1002.139","7885.215","NA","57003.8","225283","58815.74","2864102","NA","1299.65","NA","28463.5","145.2933","382.1902","4627.2","538.905","42492.6","68188.62","5391899","248.9978","76.09971","73618.13","3765.4","162915.4","3330863","693856.9","2622.1","36038","NA","19634.44","2530.317","NA","7411.894","719.4418","60020.47","55.76382","NA","84543.2","2263.93","4724.89","NA","201.6275","2346.355","1502.865","119.1549","5648.768","782.0635","4247210","268731","2671.939","13805.91","1891.324","44988","2666146","96207","297334","1852.995","50367.2","5702.351","70907.31","51933.07","2171.41","14967.95","1062816","28275","4320.182","1608.074","3276.665","168.8591","291570.7","21373.51","444093.3","718.7349","32011.18","465.8995","99894.45","206.2561","54565.18","7716.414","1070.956","6598.3","751.0039","7269.57","23513.54","1717.69","1022.97","364.3188","9168.41","5331555","36.82817","535.9635","5729.452","455317.5","2288","2163.448","272.3083","2601.6","308.0481","106498.3","1695.691","32339.25","NA","19532.52","53251.73","2939.452","16725","1581134","13024.42","17357.17","2714.469","44150","62373.1","3036.032","93514.4","4314.789","3256","531.7557","30642.27","11075.82","479379.3","806.3954","337888.1","445281.3","1036.244","286563.3","NA","408.9712","2881.8","449.1596","12737.38","NA","119370.2","48.17033","605.1474","2143.977","1062.069","42782.81","756.3439","255.5847","19510.08","NA","172128.9","327.2142","NA","406.1883","104.5274","9608.869","9447.918","85968","382739.1","NA","2706.004","34576.4","7656","135486.7","NA","112.7021","30332","12466.6","161.3821","9613281","188.9699","5871.048","6428.043","2118.72","NA"
"2011","27039.76","2481.07","NA","1932.5","4067439","147.8687","42921.33","11470.67","10145.9","294.0279","18311.05","9195.483","17317.98","4552.606","1070.218","4316.408","6076.239","237.1144","12019","352012","2490.184","789.6438","8081.886","NA","65658","281187.1","81186.74","3204610","NA","1267.502","NA","32302.9","155.2093","338.6178","4755.8","528.2628","40290.54","72795.63","5922581","244.1121","81.12095","81794.47","4098.4","183121.8","3732577","723431.7","2957.6","18141","NA","33329.69","210.8729","NA","7941.985","832.2719","52818.98","75.06244","NA","94998.24","2818.26","5382.82","103.5406","223.242","3053.841","1441.514","120.711","5846.824","801.7777","4747030","285408","2750.924","14144.03","1880.197","48832","3027088","110123","296688","1409.697","60754.52","8453.795","74874.12","53421.03","1966.11","13622.81","1259494","29328","4264.407","1707.498","3471.175","244.2613","306402.5","25931.56","520315.9","756.549","34236.13","512.8309","104998.8","213.4338","NA","7185.328","919.0861","8210.8","904.3727","6010.636","20438.48","1965.32","1134.56","348.6503","10330.74","5858392","44.31754","500.3258","7016.466","468174.3","2450.6","2473.081","485.3362","2778.2","198.1175","133641.5","1786.69","32639.78","NA","21322.24","49431.1","3633.347","17012","1717608","14365.31","17019.95","2303.728","48859","75302.4","4259.739","97866","2635.374","3520.4","498.0474","16219.92","11315.69","498648.6","933.1694","334860.4","541234.5","192.5299","305589.5","NA","439.1314","2502.7","341.8578","14901.96","NA","130396.1","52.12523","712.1686","2457.38","1008.351","44242.63","600.5076","279.1151","NA","NA","175123.8","297.3526","NA","461.6109","143.2945","10409.36","7605.973","88340","386276.7","NA","2617.451","31794.61","10302","150964","NA","89.62636","29892","13539.12","173.7893","10640725","146.3717","4451.626","5956.87","2347.03","659.2134"
"2012","31161.78","2600.87","NA","1799.4","4234229","162.0451","45004.15","12716.34","11562.12","307.2096","18993.49","12751.1","20506.99","5212.73","846.9414","4368.048","5882.889","288.9248","13926.6","373147","3290.611","954.6784","7627.973","NA","68370.83","477458","87259.15","3332943","NA","1632.552","NA","37474.1","194.0872","375.8417","6856.7","472.933","45078.82","73287.48","6251454","248.63","94.56232","86252.63","3558.5","191597.4","3899434","787956.8","2482.5","15037","NA","36009.65","299.9269","NA","8538.217","920.0178","58442.55","76.79633","NA","101095.2","2872.97","5348.96","155.3327","236.2414","4396.979","1463.107","119.485","6336.948","864.0281","5191087","317336","2496.422","14455.93","2163.589","44672","3264123","112781","295638","1396.762","68784.9","4088.776","75907.62","54739.25","1125.58","10316.85","1228470","28269","5711.026","1908.439","4288.836","263.4853","326968.4","29022.27","568054.1","814.4396","37681.65","497.2214","118609.3","231.9672","NA","7334.512","1027.909","8530","874.8726","7124.249","17017.37","2515","1052.811","318.2666","12710.44","6181282","46.45486","688.798","6976.595","495875.4","4125.8","2776.438","950.1183","3046.3","223.8684","139724","1745.866","43830.42","NA","23109.53","51892.1","4310.155","17582","1926697","14400.13","13488.71","2466.273","64049","83831.4","3933.735","108914.6","2857.507","3479.5","664.0417","32542.44","10373.88","537617.6","718.9951","334795.4","657022.9","192.6326","313987.3","470.4422","477.9871","3174.7","384.9497","13611.28","1282.09","155095.8","51.58749","889.1126","2494.578","947.6903","45736.66","740.9601","308.0935","NA","NA","181608","308.6489","NA","883.5514","152.404","9797.751","8600.054","119167","403901.6","NA","3167.158","24546.19","13566","153200.5","NA","111.0219","29891","25573.28","182.2285","11410795","148.1709","6070.271","5893.701","3069","574.4447"
"2013","31500.82","2776.84","NA","2251.6","4706941","202.5806","49883","12959.06","14018.58","328.2025","18532.99","18095.36","19878.6","5355.129","807.4084","4951.997","5013.807","402.7523","14430.2","358808","3406.427","991.3067","7726.053","NA","71826.64","497760.3","77667.4","3841374","NA","1678.466","NA","43639.3","173.4053","475.3341","7330.9","403.0944","56216.93","73234.84","6715075","424.9615","87.05089","86214.76","4700.6","195013","4373599","768623.1","4360.5","17054","NA","35917.94","313.6587","NA","9454.41","940.9066","55069.14","84.3431","NA","107273","2823.42","5187.78","174.4109","210.5536","4566.538","1614.008","150.571","7014.232","783.621","5401118","311185","2983.052","17347.67","2451.086","46508","3348070","99387","293877","1413.885","76185.37","4164.244","81785.52","55023.87","1047.83","15355.79","1238544","24715","6598.192","2104.852","4537.819","301.9526","346459.6","29489.36","559815.2","736.9946","37245.09","493.0997","115399.5","192.2226","NA","7495.27","1055.235","8072.7","880.2981","7609.118","18667.43","2820.63","776.1467","381.8853","13578.19","6640642","44.32023","585.4274","8566.66","510831.7","2248","3151.777","984.6706","3491.1","413.7963","134910.8","1511.162","42847.31","NA","23652.75","58323.22","5299.776","16320","2055152","15950.33","7201.6","2847.991","65710","83187.04","2778.114","106219.5","3440.327","4495","685.2249","41622.97","10877.21","509594.8","947.815","333342.2","725851.2","192.957","341734.8","492.8133","532.5381","2744.9","539.2854","14831.01","947.8105","154644.9","63.78777","740.2194","2139.703","916.7219","60712.5","762.541","425.9024","NA","NA","167288.7","469.7025","NA","686.9982","155.5209","10603.78","7625.685","131035","417545.1","NA","3337.539","20415.71","16290","147628.3","NA","135.0967","21485","25893.49","179.1993","12083336","150.1625","5286.767","4781.64","2708.79","474.5045"
"2014","27032.35","2652.2","NA","1489.4","4749905","297.0461","50944.27","14601.57","12658.65","316.0294","16996.93","22310.64","20007.38","6056.113","874.3374","4921.761","3491.206","486.8769","15123.2","363551","3478.693","1245.087","8322.777","NA","74589.09","507158.2","66067.22","3860887","NA","1556.985","NA","47328.1","170.4906","510.9308","7211.4","377.4758","54492.77","67783.34","6554925","393.1484","101.4477","72920.04","4861.8","179900.8","4376478","622834.8","3949.1","15356","NA","39953.01","442.8879","NA","8853.898","915.2521","53517.83","114.125","NA","112963.5","2699.19","5170.258","293.3898","159.3309","2906.844","2059.909","169.9494","7074.854","667.9251","5403959","328510","3432.778","15061.26","1967.663","42019","3326272","111862","320649","1526.424","63032.35","4103.36","86101.26","51686.05","2001.09","17553.3","1232257","29209","7910.565","1811.21","5646.284","327.2527","363592.7","32242.66","567463.9","889.5476","40014.77","499.0075","89283.12","257.6586","NA","8208.41","1070.831","8728.4","780.4769","2982.002","20490.99","2156.63","773.8177","627.4071","13278.41","6482482","48.75171","615.7923","4239.497","458779.2","1649.9","3018.866","622.1015","3919.1","603.0451","115937.4","1177.201","34241.54","NA","20305.58","64845.31","6035.09","15861","2080959","16323.72","14350.71","4032.198","62353","79540.59","2256.722","100438.2","5492.965","5580.9","672.3781","42754.38","9796.192","385459.9","842.358","373426.3","732446.7","181.4578","337676.1","468.129","600.7851","2693.2","392.0445","11400.46","416.8092","137774.4","63.52396","575.4666","2670.003","1030.001","57909.36","690.7557","465.0102","NA","NA","157107.6","191.5367","NA","311.4711","158.7849","11899.83","7675.851","127308","419670.6","NA","3316.364","7533.33","17555","132308.9","NA","157.3714","22061","34189.37","183.9986","11925934","121.2852","NA","4265.944","3103.18","363.3671"
"2015","23790.54","3127.37","93685.36","1775.3","4246620","355.7283","43183.37","13134.21","4976.246","135.1623","16706.78","27494.11","22027.8","3394.483","895.4751","4794.132","2808.992","437.1516","13056.1","356464","3218.446","1103.179","7546.145","NA","79698.1","568581.3","54853.5","3347942","NA","1215.934","NA","46740.4","199.9768","494.4956","7834.1","355.7285","64491.05","63778.91","5913379","364.8573","126.2259","63020.89","5266","144948.2","3832453","584989.6","2496","16468","NA","44816.74","415.3402","NA","8418.106","917.9478","58990.48","135.1149","NA","138018.6","2520.58","5387.922","252.9239","111.0402","1205.155","2364.967","197.9735","7521.768","531.887","5333670","358823","3731.842","14615.25","1918.752","33124","3348229","105931","350381","2007.934","50542.76","4976.04","90575.02","50856.94","2437.01","18079","1208212","27871","7547.833","1640.517","6902.331","288.3949","367961.9","28393.13","547950.7","1043.59","39203.34","522.5882","73856.47","317.5404","NA","7303.64","997.4316","1692.6","697.9192","3230.547","22768.94","1756.81","832.0088","575.7581","10347.03","5845943","40.00686","568.6629","4362.224","395257.3","1323.1","2419.193","810.6371","4260.5","NA","95289.6","1688.181","28284.82","NA","18296.31","57495.45","7946.387","14702","1985441","17543.33","19362.05","3378.098","61537","80666.86","1694.845","94921.1","6963.203","4898.6","580.9396","36534.98","8579.738","368398.7","816.2684","414166.1","616488.6","173.5164","348420.5","495.2453","579.0135","2786.6","378.9761","10755.36","229.8805","120715.6","72.8647","286.7498","2876.438","857.4835","54009.94","547.9972","536.1457","NA","NA","156514","84.06895","NA","437.7522","156.1077","10318.14","7417.55","110533","426691.6","NA","2908.877","13299.99","15634","119222.4","NA","166.0096","16361","28250.25","269.1671","11241073","122.4928","NA","3045.026","2966.83","418.9017"
"2016","23672.19","3107.51","85128.86","2204.1","3980945","330.091","50992.89","13363.66","4616.578","94.50601","15447.23","32271.32","25217.47","2447.162","1001.934","5133.279","3276.696","376.735","10081.4","365016","3328.607","1127.277","7188.822","NA","82718.07","642167.5","60692.87","3032563","NA","708.1605","NA","46682.8","158.7759","572.7368","7573.8","321.303","85726.07","64691.97","5624914","407.4143","221.9078","61864.71","6047.4","114653.4","3551695","598529.9","4258.9","24287","NA","53092.04","352.182","NA","8729.178","907.7241","59809.73","156.9848","NA","123969.7","2756.45","5486.824","373.0675","87.63556","62.3074","2865.723","207.6893","8909.123","580.9815","5397937","386241","3789.147","13912.45","2110.245","25823","3463856","116362","358898","3377.252","41712.53","7155.514","95446.29","48512.15","2719.37","17108.17","1189484","29710","7599.894","1806.09","8412.17","320.5426","371101.6","31146.76","552596.3","848.3947","43771.93","529.7272","66070.76","305.5195","NA","6019.04","925.1952","2604.6","894.0585","3277.892","25054.39","2205.93","1183.691","477.9343","8589.431","5559895","44.71353","673.7424","4629.584","358440.5","1296.3","2029.054","835.8303","4966.9","NA","94524.6","1833.674","26990.58","NA","14268.34","60486.81","8507.254","17808","1934082","20261.53","21949.24","3846.753","61746","80691.79","1610.701","114391.6","11477.23","6089","312.8003","30838.54","8842.177","377741.3","805.8663","429250.1","535852.7","168.2841","353365.8","487.5442","497.2425","3238.3","450.9835","10087.92","68.15981","117089.1","63.20301","353.1726","2888.967","742.489","54919.96","564.314","523.5038","NA","NA","171853.2","129.3716","NA","280.9537","176.4973","9925.967","5993.483","106111","434844.8","NA","NA","15539.33","13436","118594.7","NA","192.2558","10995","36527.29","267.346","11018895","99.30682","NA","3412.78","2365.98","406.7503"
"2017","17455.33","3601.62","NA","2314.1","4229621","313.6454","63704.15","10344.89","5284.165","NA","17040.43","33416.97","28446.86","NA","1521.53","6397.029","5510.09","312.1401","10260.6","373972","NA","1206.238","7490.512","NA","86677.66","769367.7","61497.15","3161814","NA","695.3982","NA","47637.2","NA","617.3623","7149.8","330.4555","147973.8","64443.26","6002366","556.0976","212.2926","72579.57","6780.8","NA","3749987","670599.5","2451.1","37021","NA","58121.07","341.4292","NA","8536.589","NA","58710.33","203.7189","NA","138421.2","3039.26","6581.411","NA","169.97","45.50293","3277.462","199.1259","NA","565.3635","5814381","431370","NA","18379.16","NA","28002","3800152","130196","409072","4172.015","NA","6486.704","113009.5","52808.14","3208.29","17190.21","1233455","30997","7339.648","NA","NA","365.0983","389266.7","NA","563941.1","NA","NA","475.2815","NA","321.7674","NA","7958.65","657.6683","4461.7","788.0881","NA","25947.01","2803.26","1600.175","596.9776","9093.051","5932670","44.97446","829.2862","NA","NA","3008.1","NA","NA","5984","NA","102446.2","2432.221","39353.49","NA","13899.91","65969.28","NA","20683","NA","NA","18233.12","2703.336","63731","81569.9","NA","113278.9","10843.27","6736.9","446.3493","NA","9504.368","432742.2","887.0271","479997","496478.8","177.9339","371487.4","NA","535.4469","3567","359.2303","NA","NA","129342.4","58.95023","NA","3213.298","880.5341","57152.69","563.1198","545.2033","NA","NA","202562.3","NA","NA","544.4344","198.5224","NA","5534.271","107635","NA","NA","NA","18808.45","15959","125206.6","NA","182.0461","9524","49075.57","395.1016","11811086","132.8303","NA","3869.794","2081.31","NA"
"2018","15398.98","3893.93","NA","2259.3","4128098","NA","51170.82","12184.05","5119.827","NA","17872.36","32016.25","28727.23","NA","NA","6736.599","5391.306","294.4684","8946.4","374715","NA","NA","NA","NA","83925.56","745803","58240.05","3094003","NA","NA","NA","48401.5","NA","606.4306","7500.9","376.6678","142512.3","64243.49","5922128","NA","NA","68302.55","7627.6","NA","3671585","694696.8","2676.5","42555","NA","59498.93","750.9348","NA","8360.778","NA","70844.43","NA","NA","160448.3","3289.82","NA","NA","191.7733","NA","3089.353","NA","NA","512.6873","5848763","424670","NA","19523.71","NA","31360","3817053","120654","395591","4986.972","NA","6242.483","115265.9","55411.89","3005.41","16168.16","1240519","30927","8231.849","NA","NA","NA","403694.3","NA","560984.3","NA","NA","NA","NA","NA","NA","6919.22","NA","5774.6","850.2329","NA","24515.85","2995.18","1739.588","767.8263","8700.704","5853165","53.00489","1021.029","NA","NA","3549.1","NA","NA","6353.1","NA","101443.9","NA","43116.86","NA","14197.16","63188.97","NA","17655","NA","NA","11319.76","NA","60288","79193.37","NA","116964.6","9781.692","6723.9","NA","NA","9005.992","468495","NA","456815.6","496645","NA","389214.5","NA","NA","3568.7","NA","NA","NA","NA","NA","NA","5198.955","928.7099","55582.15","NA","551.6207","NA","NA","205641.1","NA","NA","673.9036","NA","NA","5238.75","93027","NA","NA","NA","20820.43","15557","127977.8","NA","NA","9170","NA","NA","11763028","NA","NA","3609.774","1569.2","NA"
"2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
